# C | original section number | display title | thesis | route | party
C|0|启程之前|这次重走江湖，为的是故事，不是再填满一张收集表。|新主线 → 人物支线 → 双 DLC|按剧情带队，不为刷图鉴遣散同伴
1-5|给这一轮定个方向|默认走新主线与药圣路线；保留支线故事，把全收集、反复读档和旧主线分支留在原文里。|准备
7-63|继承与同行准备|继承以舒服开局为先，不必刷满评分。多保留已入队的同伴，重要分歧另存一档。|准备
C|1|初出茅庐|从梧桐村出发，把以后会回来的小故事一并接下。|葬龙谷 → 梧桐村 → 后山|卫霍
67-79|抵达梧桐村，先问问村里人|进入村庄后先自由走动，接好「北望」；下一步再处理村中委托、找江小彤。|主线
81-97|采药与村中委托|完成半边莲主线；孙老选「趁着还硬朗」，樵夫斧子选「重新锻造」，接好裁缝与蛇灾任务。|支线
99-111|结识卫霍，一起去后山|切磋后邀请卫霍，完成「卫霍的承诺」，接下「山猪为患」。|人物
113-127|后山山洞与江吟风|按主线进入山洞并完成战斗，返村交「无妄蛇灾」。|主线
C|2|洛村剿匪|这一章可自由游历；先保住人物前置，零散委托量力而行。|洛村 → 碗子山 → 平康城 → 各地游历|卫霍、上官虹
135-149|洛村的委托与百晓生|接养生秘术，顺路帮农忙与野猪；桃花劫之后立即去平康城接命中贵人。|支线
153-157|碗子山初遇红衣女子|打完牢房的剧情后先出来游历，不必把全地图搜刮一遍。|主线
159-163|平康城：小雨与千金难求|带至少 1000 钱帮小雨；成生的事选「买」「以理服人」「听她解释」。|支线
165-171|接下灭门案与千金蟾衣|请宋仵作出山，先做到入队；找王员外接千金蟾衣。|人物
173-181|碧幽林到莲心湖|完成千金蟾衣认识上官虹，再做山猪为患与莲湖会晤。|人物
183-197|回村交差，继续卫霍故事|交养生秘术、慈母手中线与山猪为患，接回卫霍的砥砺精进。|人物
199-219|沿渡口游历，埋下周家与荀杳杳线索|城隍庙选「出面阻止」「说来听听」，青萝山左上方触发「昏鸦」。其它村镇委托顺路做。|支线
221-237|津鲤与北山的见闻|古钱只交给小蝶或司马相之一；蜃楼幻境可单独存档开启，不作为主路线必做。|支线
241-243|邀请上官虹，推进白帝剑器|上官虹好感 40 接画舫轻歌，完成后入队；好感 70 接白帝剑器。|人物
245-245|卫霍：砥砺精进|带铁木去阎浮镇找龙鼎天，随后前往檀林瀑布。|人物
247-255|威远镖局与白玉老虎牌|接镖局客卿并做悬赏；王猛身旁的宝箱是「插翅虎的来历」前置。|支线
273-278|完成碗子山，回到洛村|游历告一段落后继续剿匪主线，不用等所有装备和图鉴齐全。|主线
C|4|江湖游侠|白锦、上官虹和司马铃的故事，适合在入武当前连着走。|洛村 → 落英林 → 白帝湖 → 青木舫|白锦、上官虹、司马铃
347-351|白锦：重回碗子山到断天绝景|依次完成重回碗子山、锦蛇青梅，白锦好感 60 后邀请入队去断天崖。|人物
353-355|五仙花酿与武馆叛徒|找幻紫问小彤下落，顺路处理姑苏武馆的委托。|支线
357-357|上官虹：白帝剑器|带上官虹去白帝湖右侧，提前准备她的单人战。|人物
359-361|司马铃：画舫旧事与出师考验|青木舫接入队剧情；好感 50 后做出师考验。|人物
363-363|青木裁衣|帮蕊蕊找布料，连鼓山宝箱里的「被劫的布料」不要漏掉。|支线
365-367|司马铃：津鲤锦鲤与姑苏曼舞|带司马铃走木桥，后续好感 80 回姑苏客栈；注意单人战。|人物
369-375|小雨的归宿与老猿遗迹|回阎浮镇民宅收尾小雨故事；断天崖探索按实力自行选择。|支线
C|5|初入武当|门派路线开启，也开始为后面的药圣故事铺路。|武当 → 清河村 → 少林寺|莫问、铁蛋
389-403|拜入武当|见清霄道长时选「认同他」，完成入门任务；少林、丐帮和六扇门随之开放。|主线
405-407|九炼熊蛇丸与毒蝎夺命|救助铁蛋，先做到洛村问诊；异种金蝎的正式分歧留到后面。|支线
409-411|玄火试炼与少林初访|在阎浮镇做试炼，再到少林结识智武。|支线
413-419|歪僧慧达的连环委托|依次完成前两段，第三段让张秀才入队即可，后文会安排收尾。|人物
421-427|城隍庙老猿|剑法精通达到 100 后，到城隍庙触发老猿剧情。|支线
C|6|初访东海与武家|先开通海路与无名岛，DLC 不必一次做完。|姑苏 → 仙人渡 → 游仙村 → 和璞山庄|上官虹、司马铃、吕仙儿、步微月
433-437|乞丐与宝书，结识吕仙儿|做姑苏与城隍庙剧情，经历比武招亲后去梧桐村接吕仙儿。|人物
439-443|东海明珠：从平康城到出海|学习扇法、打造铁骨扇，读凌波仙子手札；仙人渡准备一份黄金蟹斗。|DLC
445-455|游仙村与海上见闻|先点亮游仙村、无名岛驿站；认识鲁凯，钓鱼之王有独立剧情可顺路体验。|DLC
457-459|暮霞双锦与仙猿山|带上官虹、司马铃体验双锦和猿舞，取石制钥匙之一。|DLC
461-461|灵龟岛先到这里|先做灵龟岛开场，后面李元兴入队后再回来解机关。|DLC
469-483|无名岛：让同行的人住下来|开启家园，逐个走走同伴的住处；这组是小故事，不是资源收获打卡。|人物
485-489|赴和璞山庄|六扇门推进乞丐与宝书，准备烤栗子，再入和璞山庄。|DLC
491-499|山庄初识，暂缓金蝎|和山庄众人交谈、体验答题；武家旧事与异种金蝎先停在这里。|DLC
C|7|晋升资深|千陵凶案与天龙暗桩交织，陈麟熙的好感是本章关键。|清河村 → 千陵渡 → 平康 → 雷家村|冷无情、陈麟熙
507-517|清河调查与千陵凶案|查村长、兰儿、猴儿林，返武当接凶案；调查尸体、酒坛，客栈选「再等等」。|主线
519-519|海商赵伦|千陵凶案结束后找姑苏赵伦，去镖局与连鼓山。|支线
521-529|晋升资深弟子|挑战道通；贡献不足再选做元启与道微的门派委托。|主线
531-535|平康还债与公子相邀|先替王钧还钱，出城再入城选「插手」，完成陈麟熙的武馆切磋。|人物
